sentence,entities,finishment,api_result
Thousands of demonstrators have marched through London to protest the war in Iraq and demand the withdrawal of British troops from that country .,"[['London', (6, 6), 'geo'], ['Iraq', (12, 12), 'geo'], ['British', (18, 18), 'gpe']]",0,"[['London', (6, 6), 'geo'], ['Iraq', (12, 12), 'geo'], ['British', (18, 18), 'gpe']]"
"Families of soldiers killed in the conflict joined the protesters who carried banners with such slogans as "" Bush Number One Terrorist "" and "" Stop the Bombings . ""","[['Bush', (42, 42), 'per']]",0,"[['Bush', (42, 42), 'per']]"
They marched from the Houses of Parliament to a rally in Hyde Park .,"[['Hyde Park', (65, 66), 'geo']]",0,"[['Hyde Park', (65, 66), 'geo']]"
"Police put the number of marchers at 10,000 while organizers claimed it was 1,00,000 .",[],0,[]
The protest comes on the eve of the annual conference of Britain 's ruling Labor Party in the southern English seaside resort of Brighton .,"[['Britain', (94, 94), 'geo'], ['Labor Party', (97, 98), 'org'], ['English', (102, 102), 'gpe'], ['Brighton', (106, 106), 'geo']]",0,"[['Britain', (94, 94), 'geo'], ['Labor Party', (97, 98), 'org'], ['English', (102, 102), 'gpe'], ['Brighton', (106, 106), 'geo']]"
"The party is divided over Britain 's participation in the Iraq conflict and the continued deployment of 8,500 British troops in that country .","[['Britain', (113, 113), 'gpe'], ['Iraq', (118, 118), 'geo'], ['British', (126, 126), 'gpe']]",0,"[['Britain', (113, 113), 'gpe'], ['Iraq', (118, 118), 'geo'], ['British', (126, 126), 'gpe']]"
"The London march came ahead of anti-war protests today in other cities , including Rome , Paris , and Madrid .","[['London', (133, 133), 'geo'], ['Rome', (146, 146), 'geo'], ['Paris', (148, 148), 'geo'], ['Madrid', (151, 151), 'geo']]",0,"[['London', (133, 133), 'geo'], ['Rome', (146, 146), 'geo'], ['Paris', (148, 148), 'geo'], ['Madrid', (151, 151), 'geo']]"
The International Atomic Energy Agency is to hold second day of talks in Vienna Wednesday on how to respond to Iran 's resumption of low-level uranium conversion .,"[['International Atomic Energy Agency', (154, 157), 'org'], ['Vienna', (166, 166), 'geo'], ['Wednesday', (167, 167), 'tim'], ['Iran', (173, 173), 'gpe']]",0,"[['International Atomic Energy Agency', (154, 157), 'org'], ['Vienna', (166, 166), 'geo'], ['Wednesday', (167, 167), 'tim'], ['Iran', (173, 173), 'gpe']]"
Iran this week restarted parts of the conversion process at its Isfahan nuclear plant .,"[['Iran', (181, 181), 'gpe'], ['Isfahan', (192, 192), 'geo']]",0,"[['Iran', (181, 181), 'gpe'], ['Isfahan', (192, 192), 'geo']]"
"Iranian officials say they expect to get access to sealed sensitive parts of the plant Wednesday , after an IAEA surveillance system begins functioning .","[['Iranian', (196, 196), 'gpe'], ['Wednesday', (211, 211), 'tim'], ['IAEA', (215, 215), 'org']]",0,"[['Iranian', (196, 196), 'gpe'], ['Wednesday', (211, 211), 'tim'], ['IAEA', (215, 215), 'org']]"
The step will allow the facility to operate at full capacity .,[],0,[]
"The European Union , with U.S. backing , has threatened to refer Iran to the U.N. Security Council , which could impose sanctions if it finds Tehran has violated the Nuclear Non-Proliferation treaty .","[['European Union', (234, 235), 'org'], ['U.S.', (238, 238), 'gpe'], ['Iran', (245, 245), 'gpe'], ['U.N. Security Council', (248, 250), 'org'], ['Tehran', (259, 259), 'gpe'], ['Nuclear Non-Proliferation', (263, 264), 'art']]",0,"[['European Union', (234, 235), 'org'], ['U.S.', (238, 238), 'gpe'], ['Iran', (245, 245), 'gpe'], ['U.N. Security Council', (248, 250), 'org'], ['Tehran', (259, 259), 'gpe'], ['Nuclear Non-Proliferation', (263, 264), 'art']]"
Iran 's new President Mahmoud Ahmadinejad said Tuesday that European incentives aimed at persuading Iran to end its nuclear fuel program are an insult to the Iranian nation .,"[['Iran', (267, 267), 'gpe'], ['President Mahmoud Ahmadinejad', (270, 272), 'per'], ['Tuesday', (274, 274), 'tim'], ['European', (276, 276), 'gpe'], ['Iran', (281, 281), 'gpe'], ['Iranian', (293, 293), 'gpe']]",0,"[['Iran', (267, 267), 'gpe'], ['President Mahmoud Ahmadinejad', (270, 272), 'per'], ['Tuesday', (274, 274), 'tim'], ['European', (276, 276), 'gpe'], ['Iran', (281, 281), 'gpe'], ['Iranian', (293, 293), 'gpe']]"
Two Germans and four Nigerian oil workers were kidnapped by armed militants during a raid on a boat in Nigeria 's southern oil-rich Delta region .,"[['Germans', (297, 297), 'gpe'], ['Nigerian', (300, 300), 'gpe'], ['Nigeria', (315, 315), 'geo'], ['Delta', (319, 319), 'geo']]",0,"[['Germans', (297, 297), 'gpe'], ['Nigerian', (300, 300), 'gpe'], ['Nigeria', (315, 315), 'geo'], ['Delta', (319, 319), 'geo']]"
"An official with the German firm Bilfinger Berger , Thomas Horbach , said the gunmen stopped the supply boat Wednesday as it sailed from Delta State to Bayelsa State to inspect an offshore oil field owned by Royal-Dutch Shell .","[['German', (326, 326), 'gpe'], ['Bilfinger Berger', (328, 329), 'org'], ['Thomas Horbach', (331, 332), 'per'], ['Wednesday', (341, 341), 'tim'], ['Delta State', (346, 347), 'geo'], ['Bayelsa State', (349, 350), 'geo'], ['Royal-Dutch Shell', (359, 360), 'org']]",0,"[['German', (326, 326), 'gpe'], ['Bilfinger Berger', (328, 329), 'org'], ['Thomas Horbach', (331, 332), 'per'], ['Wednesday', (341, 341), 'tim'], ['Delta State', (346, 347), 'geo'], ['Bayelsa State', (349, 350), 'geo'], ['Royal-Dutch Shell', (359, 360), 'org']]"
The German firm works as a sub-contractor for Shell .,"[['German', (363, 363), 'gpe'], ['Shell', (370, 370), 'org']]",0,"[['German', (363, 363), 'gpe'], ['Shell', (370, 370), 'org']]"
Militant groups frequently attack oil operations in the Niger Delta to demand social services and better job opportunities from multinational companies .,"[['Niger Delta', (380, 381), 'geo']]",0,"[['Niger Delta', (380, 381), 'geo']]"
Poor residents often complain they have been cheated out of the huge riches extracted from their tribal lands - where the bulk of Nigeria 's 2.3 million barrels of petroleum are pumped daily .,"[['Nigeria', (417, 417), 'gpe']]",0,"[['Nigeria', (417, 417), 'gpe']]"
