Sentence,Original_Entity,Predicted_Entity
"In recent months , ELN delegates have held peace talks with the Colombian government , after decades of civil war pitting at least two rebel groups against the national army .","['Colombian', (137190, 137190), 'GPE']","['Colombian', 64, 'NORP']"
"In Baghdad , the new U.S. ambassador to Iraq , Zalmay Khalilzad , expressed horror at ongoing attacks by insurgents against Iraqi civilians .","['Baghdad', (103035, 103035), 'LOC']","['Baghdad', 3, 'GPE']"
"In Baghdad , the new U.S. ambassador to Iraq , Zalmay Khalilzad , expressed horror at ongoing attacks by insurgents against Iraqi civilians .","['U.S.', (103039, 103039), 'LOC']","['U.S.', 21, 'GPE']"
"In Baghdad , the new U.S. ambassador to Iraq , Zalmay Khalilzad , expressed horror at ongoing attacks by insurgents against Iraqi civilians .","['Iraq', (103042, 103042), 'LOC']","['Iraq', 40, 'GPE']"
"In Baghdad , the new U.S. ambassador to Iraq , Zalmay Khalilzad , expressed horror at ongoing attacks by insurgents against Iraqi civilians .","['Zalmay Khalilzad', (103044, 103045), 'LOC']","['Zalmay Khalilzad', 47, 'PERSON']"
"In Baghdad , the new U.S. ambassador to Iraq , Zalmay Khalilzad , expressed horror at ongoing attacks by insurgents against Iraqi civilians .","['Iraqi', (103055, 103055), 'GPE']","['Iraqi', 124, 'NORP']"
"Security sources say they believe a known Sinai militant , Youssef Badran , was at the wheel of a vehicle that exploded in front of a hotel .","['Sinai', (38521, 38521), 'LOC']","['Sinai', 42, 'GPE']"
"BBC journalist Alan Johnston , released Wednesday by Palestinian kidnappers in the Gaza Strip , has received an award for human rights reporting from Amnesty International .","['Palestinian', (104279, 104279), 'GPE']","['Palestinian', 53, 'NORP']"
Heavy fighting between majority Sunnis and minority Shi'ites erupted Friday in and around the town of Parachinar in the semi-autonomous Kurram region .,"['Parachinar', (99506, 99506), 'LOC']","['Parachinar', 102, 'GPE']"
Heavy fighting between majority Sunnis and minority Shi'ites erupted Friday in and around the town of Parachinar in the semi-autonomous Kurram region .,"['Kurram', (99510, 99510), 'ORG']","['Kurram', 136, 'GPE']"
"A Latvian republic emerged following World War I , but it was annexed by the USSR in 1940 - an action never recognized by the US and many other countries .","['Latvian', (12749, 12749), 'GPE']","['Latvian', 2, 'NORP']"
Mr. Mwanawasa was flown to France Tuesday after suffering a stroke Sunday while in Egypt for an African Union summit .,"['France', (9645, 9645), 'LOC']","['France', 27, 'GPE']"
Mr. Mwanawasa was flown to France Tuesday after suffering a stroke Sunday while in Egypt for an African Union summit .,"['Egypt', (9654, 9654), 'LOC']","['Egypt', 83, 'GPE']"
"Also Thursday , three NATO soldiers from Canada were killed in an attack by Taleban insurgents in southern Kandahar province .","['Canada', (164054, 164054), 'LOC']","['Canada', 41, 'GPE']"
"Also Thursday , three NATO soldiers from Canada were killed in an attack by Taleban insurgents in southern Kandahar province .","['Taleban', (164061, 164061), 'ORG']","['Taleban', 76, 'NORP']"
"Also Thursday , three NATO soldiers from Canada were killed in an attack by Taleban insurgents in southern Kandahar province .","['Kandahar', (164065, 164065), 'LOC']","['Kandahar', 107, 'GPE']"
"The Russian envoy also reported the 63-year-old leader is in excellent health , saying "" he is lively and joyful . ""","['Russian', (132169, 132169), 'GPE']","['Russian', 4, 'NORP']"
Soaring oil prices have pushed U.S. retail gasoline prices to a series of record highs .,"['U.S.', (216018, 216018), 'LOC']","['U.S.', 31, 'GPE']"
"Investors assumed the tests indicate continued tensions between Iran , a major oil producer , and Israel and the United States , which might disrupt oil supplies at a time of strong demand and tight inventories .","['Iran', (49473, 49473), 'LOC']","['Iran', 64, 'GPE']"
"Investors assumed the tests indicate continued tensions between Iran , a major oil producer , and Israel and the United States , which might disrupt oil supplies at a time of strong demand and tight inventories .","['Israel', (49481, 49481), 'LOC']","['Israel', 98, 'GPE']"
The U.S. space agency NASA is counting down toward a nighttime launch of the space shuttle Endeavouron a 16-day mission to the International Space Station .,"['U.S.', (108671, 108671), 'LOC']","['U.S.', 4, 'GPE']"
The U.S. space agency NASA is counting down toward a nighttime launch of the space shuttle Endeavouron a 16-day mission to the International Space Station .,"['Endeavouron', (108686, 108686), 'LOC']","['Endeavouron', 91, 'PRODUCT']"
The U.S. space agency NASA is counting down toward a nighttime launch of the space shuttle Endeavouron a 16-day mission to the International Space Station .,"['the International Space Station', (108691, 108694), 'LOC']","['the International Space Station', 123, 'FAC']"
He said the Chinese people will strive for world peace through their own development .,"['Chinese', (43670, 43670), 'GPE']","['Chinese', 12, 'NORP']"
"There has been no U.S. comment on the move , which analysts say is aimed at linking the settlement of Maale Adumim to greater Jerusalem .","['U.S.', (180123, 180123), 'LOC']","['U.S.', 18, 'GPE']"
"There has been no U.S. comment on the move , which analysts say is aimed at linking the settlement of Maale Adumim to greater Jerusalem .","['Maale Adumim', (180139, 180140), 'ORG']","['Maale Adumim', 102, 'GPE']"
"There has been no U.S. comment on the move , which analysts say is aimed at linking the settlement of Maale Adumim to greater Jerusalem .","['Jerusalem', (180143, 180143), 'LOC']","['Jerusalem', 126, 'GPE']"
"The U.S. Geological Survey reported the quake measured 3.6 in magnitude , the largest quake in the Washington area in decades .","['3.6', (193180, 193180), 'DATE']","['3.6', 55, 'CARDINAL']"
"The U.S. Geological Survey reported the quake measured 3.6 in magnitude , the largest quake in the Washington area in decades .","['Washington', (193189, 193189), 'LOC']","['Washington', 99, 'GPE']"
"But a Ugandan High Court Judge , John Bosco Katutsi , said his detention was illegal because the High Court had suspended the military trial .","['Ugandan', (7049, 7049), 'GPE']","['Ugandan', 6, 'NORP']"
"Mr. Castro called for the march on Sunday during a speech on national television , accusing Washington of human rights violations in Iraq and Afghanistan .","['Washington', (59279, 59279), 'LOC']","['Washington', 92, 'GPE']"
"Mr. Castro called for the march on Sunday during a speech on national television , accusing Washington of human rights violations in Iraq and Afghanistan .","['Iraq', (59285, 59285), 'LOC']","['Iraq', 133, 'GPE']"
"Mr. Castro called for the march on Sunday during a speech on national television , accusing Washington of human rights violations in Iraq and Afghanistan .","['Afghanistan', (59287, 59287), 'LOC']","['Afghanistan', 142, 'GPE']"
"Iranian and Russian officials met in Moscow last week , but failed to solve their financial dispute .","['Iranian', (101824, 101824), 'GPE']","['Iranian', 0, 'NORP']"
"Iranian and Russian officials met in Moscow last week , but failed to solve their financial dispute .","['Russian', (101826, 101826), 'GPE']","['Russian', 12, 'NORP']"
"Iranian and Russian officials met in Moscow last week , but failed to solve their financial dispute .","['Moscow', (101830, 101830), 'DATE']","['Moscow', 37, 'GPE']"
Endeavour will deliver the first module of a Japanese space laboratory and a Canadian robot designed to handle some of the jobs performed by spacewalking astronauts .,"['Japanese', (108723, 108723), 'GPE']","['Japanese', 45, 'NORP']"
Endeavour will deliver the first module of a Japanese space laboratory and a Canadian robot designed to handle some of the jobs performed by spacewalking astronauts .,"['Canadian', (108728, 108728), 'GPE']","['Canadian', 77, 'NORP']"
France currently has about 600 soldiers in the NATO-led international peace-keeping force in Afghanistan .,"['France', (181908, 181908), 'LOC']","['France', 0, 'GPE']"
France currently has about 600 soldiers in the NATO-led international peace-keeping force in Afghanistan .,"['Afghanistan', (181921, 181921), 'LOC']","['Afghanistan', 93, 'GPE']"
"In New Delhi , government offices closed , and thousands packed into the main 17th-century mosque known as "" Jama Masjid "" Tuesday morning to pray .","['New Delhi', (73575, 73576), 'LOC']","['New Delhi', 3, 'GPE']"
"In New Delhi , government offices closed , and thousands packed into the main 17th-century mosque known as "" Jama Masjid "" Tuesday morning to pray .","['Tuesday morning', (73596, 73597), 'DATE']","['Tuesday morning', 123, 'TIME']"
"A spokesman for the group said the organization assumes Iran 's government is trying to hide evidence of abuse , and further silence any critical voice .","['Iran', (87420, 87420), 'LOC']","['Iran', 56, 'GPE']"
"The Venezuelan leader was scheduled to hold talks with French leaders Friday as part of a trip that has so far taken him to Cuba , China and Russia .","['Venezuelan', (145502, 145502), 'GPE']","['Venezuelan', 4, 'NORP']"
"The Venezuelan leader was scheduled to hold talks with French leaders Friday as part of a trip that has so far taken him to Cuba , China and Russia .","['French', (145510, 145510), 'GPE']","['French', 55, 'NORP']"
"The Venezuelan leader was scheduled to hold talks with French leaders Friday as part of a trip that has so far taken him to Cuba , China and Russia .","['Cuba', (145525, 145525), 'LOC']","['Cuba', 124, 'GPE']"
"The Venezuelan leader was scheduled to hold talks with French leaders Friday as part of a trip that has so far taken him to Cuba , China and Russia .","['China', (145527, 145527), 'LOC']","['China', 131, 'GPE']"
"The Venezuelan leader was scheduled to hold talks with French leaders Friday as part of a trip that has so far taken him to Cuba , China and Russia .","['Russia', (145529, 145529), 'LOC']","['Russia', 141, 'GPE']"
The U.S. responded by questioning the political and military feasibility of the plan .,"['U.S.', (121715, 121715), 'LOC']","['U.S.', 4, 'GPE']"
Botswana 's heavy reliance on a single luxury export was a critical factor in the sharp economic contraction of 2009 .,"['Botswana', (182620, 182620), 'LOC']","['Botswana', 0, 'GPE']"
Greek newspapers planned not to print Friday .,"['Greek', (33764, 33764), 'GPE']","['Greek', 0, 'NORP']"
"The opposition has denounced the measure , comparing it to the draconian rule of the former Taleban in neighboring Afghanistan .","['Taleban', (936, 936), 'ORG']","['Taleban', 92, 'PERSON']"
"The opposition has denounced the measure , comparing it to the draconian rule of the former Taleban in neighboring Afghanistan .","['Afghanistan', (939, 939), 'LOC']","['Afghanistan', 115, 'GPE']"
"The organizations say that on Sunday , three armed men in uniform broke into Mr. Kabungulu 's home in Bukavu , and shot him in front of his family .","['Kabungulu', (106044, 106044), 'LOC']","['Kabungulu', 81, 'PERSON']"
"The organizations say that on Sunday , three armed men in uniform broke into Mr. Kabungulu 's home in Bukavu , and shot him in front of his family .","['Bukavu', (106048, 106048), 'LOC']","['Bukavu', 102, 'GPE']"
"Human rights group have also been very critical of Sudan , and Darfur rebels have threatened to boycott AU-sponsored peace talks if Khartoum assumes chairmanship of the 53-nation African Union .","['Khartoum', (76418, 76418), 'DATE']","['Khartoum', 132, 'GPE']"
Turkey 's judiciary has thrown out similar complaints against Israeli officials in the past .,"['Turkey', (181008, 181008), 'LOC']","['Turkey', 0, 'GPE']"
Turkey 's judiciary has thrown out similar complaints against Israeli officials in the past .,"['Israeli', (181017, 181017), 'GPE']","['Israeli', 62, 'NORP']"
"Mexico 's Chihuahua state , where the city of Chihuahua is located , is home to major drug cartels , and drug-related violence is frequent .","['Mexico', (177637, 177637), 'LOC']","['Mexico', 0, 'GPE']"
"Mexico 's Chihuahua state , where the city of Chihuahua is located , is home to major drug cartels , and drug-related violence is frequent .","['Chihuahua', (177639, 177639), 'LOC']","['Chihuahua', 46, 'GPE']"
"Mexico 's Chihuahua state , where the city of Chihuahua is located , is home to major drug cartels , and drug-related violence is frequent .","['Chihuahua', (177646, 177646), 'LOC']","['Chihuahua', 46, 'GPE']"
Users of the social networking Web site Facebook also encountered problems on Thursday .,"['Facebook', (66831, 66831), 'WORK_OF_ART']","['Facebook', 40, 'ORG']"
"Also Wednesday , two Iraqi policemen were killed by a suicide bomber in the northern city , Mosul .","['Iraqi', (173756, 173756), 'GPE']","['Iraqi', 21, 'NORP']"
"Also Wednesday , two Iraqi policemen were killed by a suicide bomber in the northern city , Mosul .","['Mosul', (173769, 173769), 'LOC']","['Mosul', 92, 'GPE']"
"Moreno called the bridge "" as American as apple pie "" - an expression common in the U.S. to indicate something is certainly American - even though it does not connect to dry land .","['American', (66993, 66993), 'GPE']","['American', 30, 'NORP']"
"Moreno called the bridge "" as American as apple pie "" - an expression common in the U.S. to indicate something is certainly American - even though it does not connect to dry land .","['U.S.', (67004, 67004), 'LOC']","['U.S.', 84, 'GPE']"
"Moreno called the bridge "" as American as apple pie "" - an expression common in the U.S. to indicate something is certainly American - even though it does not connect to dry land .","['American', (67010, 67010), 'GPE']","['American', 30, 'NORP']"
"Hours later , a car bomb in downtown Baghdad killed five people .","['Baghdad', (210727, 210727), 'LOC']","['Baghdad', 37, 'GPE']"
Pakistan 's Prime Minister Shaukat Aziz has arrived in New Delhi for talks with Indian leaders to review the on-going peace process between the two neighbors .,"['Pakistan', (57308, 57308), 'LOC']","['Pakistan', 0, 'GPE']"
Pakistan 's Prime Minister Shaukat Aziz has arrived in New Delhi for talks with Indian leaders to review the on-going peace process between the two neighbors .,"['New Delhi', (57317, 57318), 'LOC']","['New Delhi', 55, 'GPE']"
Pakistan 's Prime Minister Shaukat Aziz has arrived in New Delhi for talks with Indian leaders to review the on-going peace process between the two neighbors .,"['Indian', (57322, 57322), 'GPE']","['Indian', 80, 'NORP']"
AU officials say heavy rains in Darfur are also hindering the deployment of troops as some roads have become impassable .,"['Darfur', (26414, 26414), 'LOC']","['Darfur', 32, 'GPE']"
The military said Saturday 13 guerrillas were killed in two encounters in the central province of Uruzgan .,"['Uruzgan', (2438, 2438), 'LOC']","['Uruzgan', 98, 'GPE']"
Aung San Suu Kyi approved the final draft of her legal appeal during a meeting with her lawyer Kyi Win in September .,"['Aung San Suu Kyi', (29353, 29356), 'LOC']","['Aung San Suu Kyi', 0, 'PERSON']"
Aung San Suu Kyi approved the final draft of her legal appeal during a meeting with her lawyer Kyi Win in September .,"['Kyi Win', (29371, 29372), 'LOC']","['Kyi Win', 95, 'PERSON']"
"In Iraq today , Britain 's Defense Secretary Geoff Hoon arrived in the southern city of Basra to visit British troops .","['Iraq', (178967, 178967), 'LOC']","['Iraq', 3, 'GPE']"
"In Iraq today , Britain 's Defense Secretary Geoff Hoon arrived in the southern city of Basra to visit British troops .","['Britain', (178970, 178970), 'LOC']","['Britain', 16, 'GPE']"
"In Iraq today , Britain 's Defense Secretary Geoff Hoon arrived in the southern city of Basra to visit British troops .","['Basra', (178982, 178982), 'LOC']","['Basra', 88, 'GPE']"
"In Iraq today , Britain 's Defense Secretary Geoff Hoon arrived in the southern city of Basra to visit British troops .","['British', (178985, 178985), 'GPE']","['British', 103, 'NORP']"
The oil company says it hopes to expand its total fleet of tankers to at least 42 ships Venezuelan officials say the nation currently sells about 15 percent of its oil and other petroleum products to China and would like to increase that to about 45 percent by 2012 .,"['Venezuelan', (212739, 212739), 'GPE']","['Venezuelan', 88, 'NORP']"
The oil company says it hopes to expand its total fleet of tankers to at least 42 ships Venezuelan officials say the nation currently sells about 15 percent of its oil and other petroleum products to China and would like to increase that to about 45 percent by 2012 .,"['China', (212757, 212757), 'LOC']","['China', 200, 'GPE']"
A spokeswoman for Kennedy Monday said it is not clear when his doctor will release information about his condition .,"['Kennedy', (116924, 116924), 'ORG']","['Kennedy', 18, 'PERSON']"
"Meanwhile , Paraguay 's President Nicanor Duarte has threatened to abandon the group because of alleged protectionist trade policies by Brazil and Argentina .","['Paraguay', (17784, 17784), 'ORG']","['Paraguay', 12, 'GPE']"
"Meanwhile , Paraguay 's President Nicanor Duarte has threatened to abandon the group because of alleged protectionist trade policies by Brazil and Argentina .","['Brazil', (17802, 17802), 'ORG']","['Brazil', 136, 'GPE']"
"Meanwhile , Paraguay 's President Nicanor Duarte has threatened to abandon the group because of alleged protectionist trade policies by Brazil and Argentina .","['Argentina', (17804, 17804), 'ORG']","['Argentina', 147, 'GPE']"
United Nations Secretary-General Kofi Annan says it is very unlikely that security operations in Iraq would be transferred from U.S.-led troops to U.N. peacekeepers .,"['Iraq', (63952, 63952), 'LOC']","['Iraq', 97, 'GPE']"
United Nations Secretary-General Kofi Annan says it is very unlikely that security operations in Iraq would be transferred from U.S.-led troops to U.N. peacekeepers .,"['U.N.', (63960, 63960), 'LOC']","['U.N.', 147, 'ORG']"
The Roman Catholic pontiff also canceled his audiences on Monday .,"['Roman Catholic', (64678, 64679), 'ORG']","['Roman Catholic', 4, 'NORP']"
"The United Nations says 5,00,000 people in Indonesia still lack permanent housing nearly one year after the devastating Indian Ocean tsunami .","['Indonesia', (178747, 178747), 'LOC']","['Indonesia', 43, 'GPE']"
