Sentence,Original_Entity,Predicted_Entity
"Statements Wednesday say the suspects were detained in separate operations north of Baghdad in Kirkuk province , and in the towns of Tarmiyah and Judaidah .","['Wednesday', [11423, 11423], 'DATE']",{}
"Statements Wednesday say the suspects were detained in separate operations north of Baghdad in Kirkuk province , and in the towns of Tarmiyah and Judaidah .","['Baghdad', [11434, 11434], 'LOC']",{}
"Statements Wednesday say the suspects were detained in separate operations north of Baghdad in Kirkuk province , and in the towns of Tarmiyah and Judaidah .","['Kirkuk', [11436, 11436], 'LOC']",{}
"Statements Wednesday say the suspects were detained in separate operations north of Baghdad in Kirkuk province , and in the towns of Tarmiyah and Judaidah .","['Tarmiyah', [11444, 11444], 'LOC']",{}
"Statements Wednesday say the suspects were detained in separate operations north of Baghdad in Kirkuk province , and in the towns of Tarmiyah and Judaidah .","['Judaidah', [11446, 11446], 'LOC']",{}
"More than $ 1 billion came from the United States and the large Haitian communities in Boston , Miami , and New~York .","['United States', [16394, 16395], 'LOC']",{}
"More than $ 1 billion came from the United States and the large Haitian communities in Boston , Miami , and New~York .","['Haitian', [16399, 16399], 'GPE']",{}
"More than $ 1 billion came from the United States and the large Haitian communities in Boston , Miami , and New~York .","['Boston', [16402, 16402], 'LOC']",{}
"More than $ 1 billion came from the United States and the large Haitian communities in Boston , Miami , and New~York .","['Miami', [16404, 16404], 'LOC']",{}
"More than $ 1 billion came from the United States and the large Haitian communities in Boston , Miami , and New~York .","['New~York', [16407, 16407], 'LOC']",{}
"News-agency reports from Sevastopol say the demonstrators shouted "" NATO out "" and "" Yankee go home "" during their protest Wednesday .","['Sevastopol', [14692, 14692], 'LOC']",{}
"News-agency reports from Sevastopol say the demonstrators shouted "" NATO out "" and "" Yankee go home "" during their protest Wednesday .","['NATO', [14698, 14698], 'ORG']",{}
"News-agency reports from Sevastopol say the demonstrators shouted "" NATO out "" and "" Yankee go home "" during their protest Wednesday .","['Wednesday', [14710, 14710], 'DATE']",{}
